Commit SHA,Java File,Old function signature,New function signature
9a271ce6c92695b9421aa603c9aa56e805c7920c,ConfigurationClassParser.java,"private void processImport(ConfigurationClass configClass, String[] classesToImport) throws IOException {","private void processImport(ConfigurationClass configClass, String[] classesToImport, boolean checkForCircularImports) throws IOException {"
580f35f6eeb8268fe5d1f11b8776de92f82a390f,Tokenizer.java,"private void pushOneCharOrTwoCharToken(TokenKind kind, int pos) {","private void pushOneCharOrTwoCharToken(TokenKind kind, int pos, char[] data) {"
c5833b192e3f3a280f8c63a9c45ca96776415a6b,AbstractMessageConverterMethodProcessor.java,protected List<MediaType> getProducibleMediaTypes(HttpServletRequest request) {,"protected List<MediaType> getProducibleMediaTypes(HttpServletRequest request, Class<?> returnValueClass) {"
ad93d20a6c6987ec15dca9a43eb1e3a02ff2183d,GenericConversionService.java,"private void addInterfaceHierarchy(Class<?> interfaceType, LinkedList<Class<?>> classQueue) {","private void addInterfaceHierarchy(Class<?> interfaceType, LinkedList<Class<?>> classQueue, LinkedList<Class<?>> attemptedInterfaces) {"
6933a1af28ba28e083adbad3f1d0a36060aa1ec8,InitializeDatabaseBeanDefinitionParser.java,"private BeanDefinition createDatabasePopulator(Element element, List<Element> scripts, ParserContext context) {","private BeanDefinition createDatabasePopulator(Element element, List<Element> scripts, ParserContext context, String execution) {"
96b0752ddb0e74a101047b1e554fe40616246244,ConsumesRequestCondition.java,public int compareTo(ConsumesRequestCondition other) {,"public int compareTo(ConsumesRequestCondition other, HttpServletRequest request) {"
96b0752ddb0e74a101047b1e554fe40616246244,HeadersRequestCondition.java,public int compareTo(HeadersRequestCondition other) {,"public int compareTo(HeadersRequestCondition other, HttpServletRequest request) {"
96b0752ddb0e74a101047b1e554fe40616246244,ParamsRequestCondition.java,public int compareTo(ParamsRequestCondition other) {,"public int compareTo(ParamsRequestCondition other, HttpServletRequest request) {"
96b0752ddb0e74a101047b1e554fe40616246244,RequestMethodsRequestCondition.java,public int compareTo(RequestMethodsRequestCondition other) {,"public int compareTo(RequestMethodsRequestCondition other, HttpServletRequest request) {"
64fd0b081d9367a764b88f1894f3f92198e85b07,ScriptFactoryPostProcessor.java,"protected Object createRefreshableProxy(TargetSource ts, Class[] interfaces) {","protected Object createRefreshableProxy(TargetSource ts, Class[] interfaces, boolean proxyTargetClass) {"
8e240d814b1d621a1da85c1515f3e3a1fa7567f7,ServletRequestDataBinderFactory.java,"protected WebDataBinder createBinderInstance(Object target, String objectName) {","protected WebDataBinder createBinderInstance(Object target, String objectName, final NativeWebRequest request) {"
8e240d814b1d621a1da85c1515f3e3a1fa7567f7,DefaultDataBinderFactory.java,"protected WebDataBinder createBinderInstance(Object target, String objectName) {","protected WebDataBinder createBinderInstance(Object target, String objectName, NativeWebRequest webRequest) {"
2799e710bc5a689e286a705b596ae41c1a8ceb54,RequestMappingHandlerAdapter.java,private ModelFactory getModelFactory(HandlerMethod handlerMethod) {,"private ModelFactory getModelFactory(HandlerMethod handlerMethod, WebDataBinderFactory binderFactory) {"
0042243a119cde1b5dbbe76cd2a8cb310265dfd4,DefaultLifecycleProcessor.java,"private void doStart(Map<String, ? extends Lifecycle> lifecycleBeans, String beanName) {","private void doStart(Map<String, ? extends Lifecycle> lifecycleBeans, String beanName, boolean autoStartupOnly) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,AnnotatedBeanDefinitionReader.java,public void registerBean(Class<?> annotatedClass) {,"public void registerBean(Class<?> annotatedClass, Class<? extends Annotation>... qualifiers) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,AnnotatedBeanDefinitionReader.java,public void registerBean(Class<?> annotatedClass) {,"public void registerBean(Class<?> annotatedClass, String name, Class<? extends Annotation>... qualifiers) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,ThreadPoolTaskScheduler.java,public void execute(Runnable task) {,"public void execute(Runnable task, long startTimeout) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,LocaleContextMessageInterpolator.java,"public String interpolate(String message, Context context) {","public String interpolate(String message, Context context, Locale locale) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,SpringValidatorAdapter.java,"public void validate(Object target, Errors errors) {","public void validate(Object target, Errors errors, Object... validationHints) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,InternalSpelExpressionParser.java,private boolean peekToken(TokenKind desiredTokenKind) {,"private boolean peekToken(TokenKind desiredTokenKind, boolean consumeIfMatched) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,InternalSpelExpressionParser.java,"private boolean peekToken(TokenKind possible1,TokenKind possible2) {","private boolean peekToken(TokenKind possible1,TokenKind possible2, TokenKind possible3) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,MockPageContext.java,"public void setAttribute(String name, Object value) {","public void setAttribute(String name, Object value, int scope) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,MockPageContext.java,public Object getAttribute(String name) {,"public Object getAttribute(String name, int scope) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,MockPageContext.java,public void removeAttribute(String name) {,"public void removeAttribute(String name, int scope) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,MockPageContext.java,"public void include(String path) throws ServletException, IOException {","public void include(String path, boolean flush) throws ServletException, IOException {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,MockServletContext.java,public void log(String message) {,"public void log(String message, Throwable ex) {"
ae72cf2f50a078724c3d177daae9dec824bdbfee,MockServletContext.java,public void log(String message) {,"public void log(String message, Throwable ex) {"
88913f2b231c7bad0a535dcc11aab4dbf5ad9127,AnnotatedBeanDefinitionReader.java,public void registerBean(Class<?> annotatedClass) {,"public void registerBean(Class<?> annotatedClass, Class<? extends Annotation>... qualifiers) {"
88913f2b231c7bad0a535dcc11aab4dbf5ad9127,AnnotatedBeanDefinitionReader.java,public void registerBean(Class<?> annotatedClass) {,"public void registerBean(Class<?> annotatedClass, String name, Class<? extends Annotation>... qualifiers) {"
